CODIGO,NOMBRES Y APELLIDOS,ESCUELA PROFESIONAL,PUNTAJE,ORDEN DE MÉRITO,RESULTADO
828357,,,,,ALCANZÓ VACANTE
145173,,,,,ALCANZÓ VACANTE
187379,,,,,ALCANZÓ VACANTE
168668,,,,,
140610,,,,,ALCANZÓ VACANTE
145452,,,,,ALCANZÓ VACANTE
176901,,,,,ALCANZÓ VACANTE
189186,,,,,ALCANZÓ VACANTE
141524,,,,,ALCANZÓ VACANTE
148263,,,,,ALCANZÓ VACANTE
154221,,,,,ALCANZÓ VACANTE
168861,,,,,ALCANZÓ VACANTE
116678,,,,,ALCANZÓ VACANTE
177855,,,,,ALCANZÓ VACANTE
176215,,,,,ALCANZÓ VACANTE
151825,,,,,ALCANZÓ VACANTE
193756,,,,,ALCANZÓ VACANTE
152971,,,,,ALCANZÓ VACANTE
218229,,,,,ALCANZÓ VACANTE
172425,,,,,ALCANZÓ VACANTE
879704,,,,,ALCANZÓ VACANTE
862025,,,,,
881414,,,,,
887890,,,,,
886564,,,,,
890123,,,,,
866825,,,,,ALCANZÓ VACANTE
878496,,,,,ALCANZÓ VACANTE
845286,,,,,
865829,,,,,
851693,,,,,
877050,,,,,
877246,,,,,
881422,,,,,
870574,,,,,
877678,,,,,
857913,,,,,
860668,,,,,
857442,,,,,
877160,,,,,
879812,,,,,
897971,,,,,
849217,,,,,
860281,,,,,
850515,,,,,
854427,,,,,
859205,,,,,
893948,,,,,
871189,,,,,ALCANZÓ VACANTE
857607,,,,,
893260,,,,,
888923,,,,,
880707,,,,,
872325,,,,,
867006,,,,,ALCANZÓ VACANTE
878559,,,,,ALCANZÓ VACANTE
898582,,,,,
876111,,,,,
856140,,,,,
868911,,,,,
860552,,,,,ALCANZÓ VACANTE
857830,,,,,
857021,,,,,
871466,,,,,
864581,,,,,AUSENTE
886861,,,,,
766127,,,,,ALCANZÓ VACANTE
823635,,,,,ALCANZÓ VACANTE
778447,,,,,ALCANZÓ VACANTE
760499,,,,,ALCANZÓ VACANTE
322181,,,,,ALCANZÓ VACANTE
380425,,,,,ALCANZÓ VACANTE
363378,,,,,ALCANZÓ VACANTE
397090,,,,,ALCANZÓ VACANTE
342364,,,,,ALCANZÓ VACANTE
342851,,,,,ALCANZÓ VACANTE
371145,,,,,ALCANZÓ VACANTE
322330,,,,,ALCANZÓ VACANTE
370628,,,,,ALCANZÓ VACANTE
314629,,,,,ALCANZÓ VACANTE
341377,,,,,ALCANZÓ VACANTE
319310,,,,,ALCANZÓ VACANTE
378808,,,,,
341570,,,,,ALCANZÓ VACANTE
339274,,,,,
357372,,,,,
355044,,,,,
337006,,,,,ALCANZÓ VACANTE
315189,,,,,
311005,,,,,ALCANZÓ VACANTE
358037,,,,,
364261,,,,,ALCANZÓ VACANTE
354289,,,,,ALCANZÓ VACANTE
346683,,,,,ALCANZÓ VACANTE
335089,,,,,ALCANZÓ VACANTE
311333,,,,,ALCANZÓ VACANTE
316562,,,,,ALCANZÓ VACANTE
319582,,,,,ALCANZÓ VACANTE
364779,,,,,ALCANZÓ VACANTE
340394,,,,,ALCANZÓ VACANTE
362812,,,,,ALCANZÓ VACANTE
657345,,,,,ALCANZÓ VACANTE
216689,,,,,ALCANZÓ VACANTE
167904,,,,,ALCANZÓ VACANTE
134613,,,,,ALCANZÓ VACANTE
168554,,,,,ALCANZÓ VACANTE
184771,,,,,
139634,,,,,
183136,,,,,ALCANZÓ VACANTE
180838,,,,,ALCANZÓ VACANTE
144449,,,,,ALCANZÓ VACANTE
176657,,,,,ALCANZÓ VACANTE
197406,,,,,ALCANZÓ VACANTE
802764,,,,,ALCANZÓ VACANTE
785656,,,,,ALCANZÓ VACANTE
651942,,,,,ALCANZÓ VACANTE
656404,,,,,ALCANZÓ VACANTE
656348,,,,,ALCANZÓ VACANTE
647155,,,,,AUSENTE
659727,,,,,ALCANZÓ VACANTE
573946,,,,,ALCANZÓ VACANTE
553478,,,,,ALCANZÓ VACANTE
584878,,,,,ALCANZÓ VACANTE
783029,,,,,ALCANZÓ VACANTE
816120,,,,,ALCANZÓ VACANTE
793223,,,,,ALCANZÓ VACANTE
803865,,,,,ALCANZÓ VACANTE
738270,,,,,ALCANZÓ VACANTE
785664,,,,,ALCANZÓ VACANTE
697759,,,,,ALCANZÓ VACANTE
787533,,,,,ALCANZÓ VACANTE
717407,,,,,ALCANZÓ VACANTE
836411,,,,,ALCANZÓ VACANTE
839563,,,,,ALCANZÓ VACANTE
828648,,,,,
800847,,,,,ALCANZÓ VACANTE
772517,,,,,ALCANZÓ VACANTE
814316,,,,,ALCANZÓ VACANTE
813203,,,,,ALCANZÓ VACANTE
692520,,,,,
830958,,,,,ALCANZÓ VACANTE
830409,,,,,
749777,,,,,ALCANZÓ VACANTE
793677,,,,,ALCANZÓ VACANTE
219289,,,,,ALCANZÓ VACANTE
832529,,,,,ALCANZÓ VACANTE
722411,,,,,ALCANZÓ VACANTE
689623,,,,,ALCANZÓ VACANTE
710142,,,,,ALCANZÓ VACANTE
355776,,,,,ALCANZÓ VACANTE
329381,,,,,
389053,,,,,ALCANZÓ VACANTE
803850,,,,,ALCANZÓ VACANTE
581785,,,,,ALCANZÓ VACANTE
581937,,,,,ALCANZÓ VACANTE
654809,,,,,ALCANZÓ VACANTE
730555,,,,,ALCANZÓ VACANTE
707110,,,,,ALCANZÓ VACANTE
156667,,,,,
112992,,,,,
172611,,,,,
188316,,,,,
118901,,,,,
161084,,,,,
150453,,,,,
190356,,,,,
136402,,,,,
198504,,,,,ALCANZÓ VACANTE
112741,,,,,
156183,,,,,ALCANZÓ VACANTE
137191,,,,,
195234,,,,,
122491,,,,,
219759,,,,,ALCANZÓ VACANTE
646009,,,,,ALCANZÓ VACANTE
819488,,,,,ALCANZÓ VACANTE
701914,,,,,ALCANZÓ VACANTE
390777,,,,,ALCANZÓ VACANTE
341126,,,,,ALCANZÓ VACANTE
336302,,,,,
323603,,,,,ALCANZÓ VACANTE
353844,,,,,ALCANZÓ VACANTE
372887,,,,,ALCANZÓ VACANTE
338851,,,,,
328411,,,,,ALCANZÓ VACANTE
361838,,,,,
331266,,,,,
319291,,,,,ALCANZÓ VACANTE
317024,,,,,
337378,,,,,ALCANZÓ VACANTE
347143,,,,,ALCANZÓ VACANTE
350331,,,,,
311840,,,,,ALCANZÓ VACANTE
385050,,,,,
393558,,,,,
364592,,,,,
377116,,,,,
370477,,,,,
353096,,,,,
368129,,,,,ALCANZÓ VACANTE
336970,,,,,
349494,,,,,ALCANZÓ VACANTE
329633,,,,,ALCANZÓ VACANTE
363097,,,,,
787311,,,,,
728788,,,,,ALCANZÓ VACANTE
783990,,,,,
804204,,,,,ALCANZÓ VACANTE
837262,,,,,
764456,,,,,
702544,,,,,ALCANZÓ VACANTE
767752,,,,,ALCANZÓ VACANTE
770222,,,,,
706773,,,,,
788682,,,,,ALCANZÓ VACANTE
731718,,,,,
689397,,,,,ALCANZÓ VACANTE
821423,,,,,
764224,,,,,
797532,,,,,
687433,,,,,
785747,,,,,
713666,,,,,
711856,,,,,
752755,,,,,ALCANZÓ VACANTE
824304,,,,,
767235,,,,,
699103,,,,,
764741,,,,,
763328,,,,,
700935,,,,,
695503,,,,,
768423,,,,,
696429,,,,,ALCANZÓ VACANTE
690215,,,,,
703284,,,,,ALCANZÓ VACANTE
646151,,,,,
569168,,,,,ALCANZÓ VACANTE
656429,,,,,
591709,,,,,
550021,,,,,
588747,,,,,
592483,,,,,ALCANZÓ VACANTE
658882,,,,,ALCANZÓ VACANTE
565075,,,,,ALCANZÓ VACANTE
648451,,,,,ALCANZÓ VACANTE
697090,,,,,ALCANZÓ VACANTE
151780,,,,,ALCANZÓ VACANTE
877338,,,,,ALCANZÓ VACANTE
847575,,,,,
888620,,,,,
853223,,,,,
872759,,,,,
867128,,,,,Articulo N° 5 del Reglamento de Admisión 2026-II
359882,,,,,ALCANZÓ VACANTE
369983,,,,,
330594,,,,,ALCANZÓ VACANTE
372174,,,,,ALCANZÓ VACANTE
377343,,,,,ALCANZÓ VACANTE
168487,,,,,ALCANZÓ VACANTE
146127,,,,,
652904,,,,,ALCANZÓ VACANTE
573348,,,,,ALCANZÓ VACANTE
594030,,,,,ALCANZÓ VACANTE
695419,,,,,ALCANZÓ VACANTE
658655,,,,,ALCANZÓ VACANTE
647648,,,,,
159759,,,,,ALCANZÓ VACANTE
854610,,,,,
880940,,,,,
876779,,,,,ALCANZÓ VACANTE
852120,,,,,
346430,,,,,ALCANZÓ VACANTE
792355,,,,,ALCANZÓ VACANTE
820205,,,,,ALCANZÓ VACANTE
773792,,,,,ALCANZÓ VACANTE
198944,,,,,ALCANZÓ VACANTE
385896,,,,,ALCANZÓ VACANTE
394281,,,,,ALCANZÓ VACANTE
312428,,,,,Articulo N° 5 del Reglamento de Admisión 2026-II
343366,,,,,ALCANZÓ VACANTE
